# region irank jrank data_tot data_tx data_rx nmsg_tx nmsg_rx
ipm_global 24 23 251766032 4731496 247034536 498 30486
ipm_global 24 24 9297856 4648928 4648928 498 498
ipm_global 25 3 4055040 4055040 0 99 0
ipm_global 25 5 1048576 524288 524288 64 64
ipm_global 25 9 99252672 49626336 49626336 626 626
ipm_global 25 11 87408640 42622976 44785664 946 1012
ipm_global 25 16 9462992 4731496 4731496 498 498
ipm_global 25 17 674859812 638292588 36567224 36074 3019
ipm_global 25 18 9426816 4713408 4713408 498 498
ipm_global 25 19 9462992 4731496 4731496 498 498
ipm_global 25 20 10243120 5121560 5121560 498 498
ipm_global 25 21 248959136 124479568 124479568 996 996
ipm_global 25 22 9555776 4777888 4777888 498 498
ipm_global 25 23 9591952 4795976 4795976 498 498
ipm_global 25 24 3824161196 3240026412 584134784 36096 31734
ipm_global 25 25 9555776 4777888 4777888 498 498
ipm_global 26 3 4055040 4055040 0 99 0
ipm_global 26 6 1048576 524288 524288 64 64
ipm_global 26 10 95629056 47814528 47814528 626 626
ipm_global 26 16 9987104 4993552 4993552 498 498
ipm_global 26 17 10116064 5058032 5058032 498 498
ipm_global 26 18 676354068 638453988 37900080 36074 3063
ipm_global 26 19 98477088 48697872 49779216 1477 1510
ipm_global 26 20 10732960 5366480 5366480 498 498
ipm_global 26 21 10249184 5124592 5124592 498 498
ipm_global 26 22 240170400 120085200 120085200 996 996
ipm_global 26 23 10116064 5058032 5058032 498 498
ipm_global 26 24 10142080 5071040 5071040 1102 1102
ipm_global 26 25 3818103596 3236812812 581290784 35968 31606
ipm_global 26 26 10463104 5231552 5231552 498 498
ipm_global 27 3 4055040 4055040 0 99 0
ipm_global 27 7 1048576 524288 524288 64 64
ipm_global 27 11 96931392 48465696 48465696 626 626
ipm_global 27 16 9334032 4667016 4667016 498 498
ipm_global 27 17 9462992 4731496 4731496 498 498
ipm_global 27 18 9297856 4648928 4648928 498 498
ipm_global 27 19 676854692 638163628 38691064 36074 3096
ipm_global 27 20 10114160 5057080 5057080 498 498
ipm_global 27 21 9596112 4798056 4798056 498 498
ipm_global 27 22 9426816 4713408 4713408 498 498
ipm_global 27 23 243605216 121802608 121802608 996 996
ipm_global 27 24 581398720 290699360 290699360 996 996
ipm_global 27 25 21809280 10904640 10904640 1102 1102
ipm_global 27 26 3817693764 3236353796 581339968 36096 31734
ipm_global 27 27 9297856 4648928 4648928 498 498
ipm_global 28 3 5046272 5046272 0 121 0
ipm_global 28 4 1048576 524288 524288 64 64
ipm_global 28 12 98306080 49153040 49153040 626 626
ipm_global 28 16 245574464 122787232 122787232 996 996
ipm_global 28 17 9499168 4749584 4749584 498 498
ipm_global 28 18 9334032 4667016 4667016 498 498
ipm_global 28 19 9370208 4685104 4685104 498 498
ipm_global 28 20 681921348 640651900 41269448 36074 3107
ipm_global 28 21 9632288 4816144 4816144 498 498
ipm_global 28 22 9462992 4731496 4731496 498 498
ipm_global 28 23 9499168 4749584 4749584 498 498
ipm_global 28 24 243703584 121851792 121851792 1124 1124
ipm_global 28 25 9462992 4731496 4731496 498 498
ipm_global 28 26 9987104 4993552 4993552 498 498
ipm_global 28 27 3251710160 2953785864 297924296 35470 31108
ipm_global 28 28 9370208 4685104 4685104 498 498
ipm_global 29 3 5046272 5046272 0 121 0
ipm_global 29 5 1048576 524288 524288 64 64
ipm_global 29 13 100627360 50313680 50313680 626 626
ipm_global 29 16 9499168 4749584 4749584 498 498
ipm_global 29 17 250924224 125462112 125462112 996 996
ipm_global 29 18 9462992 4731496 4731496 498 498
ipm_global 29 19 9499168 4749584 4749584 498 498
ipm_global 29 20 10315472 5157736 5157736 498 498
ipm_global 29 21 682667540 640439268 42228272 36074 3151
ipm_global 29 22 9591952 4795976 4795976 498 498
ipm_global 29 23 9628128 4814064 4814064 498 498
ipm_global 29 24 9462992 4731496 4731496 498 498
ipm_global 29 25 249053344 124526672 124526672 1124 1124
ipm_global 29 26 10116064 5058032 5058032 498 498
ipm_global 29 27 9462992 4731496 4731496 498 498
ipm_global 29 28 3827952372 3241719380 586232992 36096 31734
ipm_global 29 29 9628128 4814064 4814064 498 498
ipm_global 30 3 5046272 5046272 0 121 0
ipm_global 30 6 1048576 524288 524288 64 64
ipm_global 30 14 96931392 48465696 48465696 626 626
ipm_global 30 16 9334032 4667016 4667016 498 498
ipm_global 30 17 9462992 4731496 4731496 498 498
ipm_global 30 18 241378048 120689024 120689024 996 996
ipm_global 30 19 9334032 4667016 4667016 498 498
ipm_global 30 20 10114160 5057080 5057080 498 498
ipm_global 30 21 9596112 4798056 4798056 498 498
ipm_global 30 22 683287508 640163524 43123984 36074 3195
ipm_global 30 23 9462992 4731496 4731496 498 498
ipm_global 30 24 9297856 4648928 4648928 498 498
ipm_global 30 25 9426816 4713408 4713408 498 498
ipm_global 30 26 240268768 120134384 120134384 1124 1124
ipm_global 30 27 9297856 4648928 4648928 498 498
ipm_global 30 28 9561360 4780680 4780680 1102 1102
ipm_global 30 29 3822294332 3238385020 583909312 35968 31617
ipm_global 30 30 9297856 4648928 4648928 498 498
ipm_global 31 3 5046272 5046272 0 121 0
ipm_global 31 7 1048576 524288 524288 64 64
ipm_global 31 15 98306080 49153040 49153040 626 626
ipm_global 31 16 10057552 5028776 5028776 498 498
ipm_global 31 17 10186512 5093256 5093256 498 498
ipm_global 31 18 9985200 4992600 4992600 498 498
ipm_global 31 19 246261808 123130904 123130904 996 996
ipm_global 31 20 10873856 5436928 5436928 498 498
ipm_global 31 21 10319632 5159816 5159816 498 498
ipm_global 31 22 10114160 5057080 5057080 498 498
ipm_global 31 23 685165380 640651900 44513480 36074 3206
ipm_global 31 24 3009392048 55946840 2953445208 1120 35470
ipm_global 31 25 10114160 5057080 5057080 498 498
ipm_global 31 26 10604000 5302000 5302000 498 498
ipm_global 31 27 244354752 122177376 122177376 1124 1124
ipm_global 31 28 586282480 293141240 293141240 996 996
ipm_global 31 29 22786032 11393016 11393016 1102 1102
ipm_global 31 30 3825693900 3240508700 585185200 36118 31756
ipm_global 31 31 10744896 5372448 5372448 498 498
ipm_global 32 0 1275904 637952 637952 668 668
ipm_global 32 4 91463680 45596672 45867008 1012 1045
ipm_global 32 16 97391408 48695704 48695704 498 498
ipm_global 32 24 663869076 633382948 30486128 34972 1873
ipm_global 32 31 242303040 0 242303040 0 29988
ipm_global 32 32 5372448 2686224 2686224 498 498
ipm_global 33 1 1275904 637952 637952 668 668
